Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,churn_probability,predicted_churn,estimated_annual_revenue,risk_segment
Female,Yes,Yes,No,50,No,No phone service,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,56.59,2829.5,0.12243623,0,679.08,Low Risk
Female,Yes,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.33,1065.22,0.044078223,0,375.96,Low Risk
Female,Yes,Yes,Yes,39,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,92.44,3605.16,0.0066500427,0,1109.28,Low Risk
Male,Yes,No,Yes,41,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),69.27,2840.07,0.06169455,0,831.24,Low Risk
Female,No,No,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,117.21,937.68,0.08259823,0,1406.52,Low Risk
Female,Yes,Yes,No,0,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),85.02,0.0,0.671713,1,1020.24,High Risk
Female,Yes,No,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.29,1157.73,0.07011789,0,375.48,Low Risk
Female,No,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.85,1783.65,0.0025081437,0,310.20000000000005,Low Risk
Female,Yes,No,No,17,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),84.54,1437.18,0.14918499,0,1014.48,Low Risk
Male,No,Yes,Yes,31,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),39.93,1237.83,0.06098752,0,479.15999999999997,Low Risk
Female,No,No,Yes,44,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),50.59,2225.96,0.008838302,0,607.08,Low Risk
Female,No,Yes,No,57,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,68.86,3925.02,0.11242058,0,826.3199999999999,Low Risk
Male,No,No,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.14,613.06,0.018849496,0,253.68,Low Risk
Male,Yes,No,No,49,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),44.85,2197.65,0.103788055,0,538.2,Low Risk
Female,No,No,Yes,44,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),81.93,3604.92,0.054611336,0,983.1600000000001,Low Risk
Male,No,No,Yes,49,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),44.35,2173.15,0.021628264,0,532.2,Low Risk
Male,No,Yes,Yes,49,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.27,4815.23,0.10476313,0,1179.24,Low Risk
Female,Yes,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.68,1547.44,0.0053910734,0,320.15999999999997,Low Risk
Female,Yes,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,113.26,6116.04,0.050882008,0,1359.1200000000001,Low Risk
Female,No,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.96,622.96,0.009723778,0,287.52,Low Risk
Female,No,No,Yes,17,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),76.42,1299.14,0.0072393543,0,917.04,Low Risk
Male,No,No,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),113.45,6466.65,0.20645563,0,1361.4,Low Risk
Female,Yes,No,Yes,54,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,114.71,6194.34,0.061129782,0,1376.52,Low Risk
Female,Yes,Yes,Yes,56,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,39.67,2221.52,0.015335612,0,476.04,Low Risk
Female,Yes,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,762.45,0.12529138,0,234.60000000000002,Low Risk
Female,Yes,Yes,Yes,66,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,38.54,2543.64,0.015930355,0,462.48,Low Risk
Male,No,No,No,17,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),71.12,1209.04,0.030562937,0,853.44,Low Risk
Female,Yes,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,82.41,1400.97,0.011663494,0,988.92,Low Risk
Female,Yes,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),119.34,4415.58,0.45005223,1,1432.08,Medium Risk
Female,No,Yes,No,9,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),66.43,597.87,0.05664133,0,797.1600000000001,Low Risk
Female,Yes,Yes,No,10,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,69.93,699.3,0.13432252,0,839.1600000000001,Low Risk
Male,Yes,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.61,1775.38,0.0066389833,0,367.32,Low Risk
Male,Yes,Yes,Yes,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.79,1687.77,0.0043459334,0,321.48,Low Risk
Female,Yes,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,95.54,286.62,0.44028106,1,1146.48,Medium Risk
Female,Yes,No,Yes,14,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),81.01,1134.14,0.1905704,0,972.1200000000001,Low Risk
Male,No,Yes,No,40,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),82.7,3308.0,0.29193676,0,992.4000000000001,Low Risk
Female,No,Yes,No,1,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.89,84.89,0.8400279,1,1018.6800000000001,High Risk
Male,No,Yes,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.27,2226.63,0.04156156,0,387.24,Low Risk
Female,No,Yes,Yes,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.86,7695.62,0.0071990076,0,1378.32,Low Risk
Female,Yes,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),105.04,5252.0,0.0074391807,0,1260.48,Low Risk
Female,No,Yes,Yes,25,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),41.04,1026.0,0.018957563,0,492.48,Low Risk
Female,No,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.85,328.35,0.077031165,0,358.20000000000005,Low Risk
Male,Yes,Yes,No,50,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.1,4655.0,0.44596335,1,1117.1999999999998,Medium Risk
Male,Yes,Yes,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),28.72,1464.72,0.00650041,0,344.64,Low Risk
Male,Yes,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,111.08,6220.48,0.0097339805,0,1332.96,Low Risk
Female,No,Yes,No,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,90.6,2446.2,0.08672956,0,1087.1999999999998,Low Risk
Male,No,No,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),34.9,1849.7,0.0048917197,0,418.79999999999995,Low Risk
Female,No,No,No,72,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),114.79,8264.88,0.07702337,0,1377.48,Low Risk
Female,Yes,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.88,988.28,0.0048791184,0,382.56,Low Risk
Female,No,Yes,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),29.86,895.8,0.0065793134,0,358.32,Low Risk
Male,Yes,No,No,22,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,35.03,770.66,0.051986195,0,420.36,Low Risk
Female,Yes,No,Yes,2,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),50.09,100.18,0.3093351,1,601.08,Medium Risk
Female,No,Yes,No,28,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,79.1,2214.8,0.21662642,0,949.1999999999999,Low Risk
Female,Yes,No,Yes,30,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),80.48,2414.4,0.009790572,0,965.76,Low Risk
Female,Yes,Yes,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.13,1231.37,0.039895922,0,301.56,Low Risk
Female,No,No,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,117.58,7172.38,0.023703802,0,1410.96,Low Risk
Female,Yes,Yes,Yes,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.53,796.79,0.004769395,0,222.36,Low Risk
Male,Yes,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.42,712.92,0.021834712,0,329.04,Low Risk
Female,Yes,Yes,Yes,50,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,76.19,3809.5,0.006087609,0,914.28,Low Risk
Male,Yes,Yes,Yes,37,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),67.09,2482.33,0.012177344,0,805.08,Low Risk
Female,No,Yes,No,5,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,107.61,538.05,0.7146164,1,1291.32,High Risk
Female,No,Yes,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.68,1454.32,0.008791092,0,356.15999999999997,Low Risk
Female,Yes,No,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,91.17,5834.88,0.0025449572,0,1094.04,Low Risk
Male,No,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.76,272.36,0.01263601,0,297.12,Low Risk
Male,No,Yes,No,19,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,67.74,1287.06,0.076346986,0,812.8799999999999,Low Risk
Male,No,No,Yes,51,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),86.89,4431.39,0.010351193,0,1042.68,Low Risk
Female,Yes,Yes,Yes,38,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),115.67,4395.46,0.020624027,0,1388.04,Low Risk
Male,Yes,Yes,No,64,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,36.65,2345.6,0.19106929,0,439.79999999999995,Low Risk
Female,No,No,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),78.18,1172.7,0.25120157,0,938.1600000000001,Low Risk
Male,No,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.51,580.77,0.0074609364,0,258.12,Low Risk
Male,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),31.69,31.69,0.029162554,0,380.28000000000003,Low Risk
Female,No,No,No,27,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),104.22,2813.94,0.27205852,0,1250.6399999999999,Low Risk
Female,No,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.01,1178.38,0.10869612,0,372.12,Low Risk
Male,Yes,No,No,33,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),115.33,3805.89,0.11952559,0,1383.96,Low Risk
Male,Yes,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.74,1904.4,0.029949337,0,380.88,Low Risk
Male,No,Yes,No,53,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),113.32,6005.96,0.26996934,0,1359.84,Low Risk
Male,Yes,No,No,52,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.12,4062.24,0.14266895,0,937.44,Low Risk
Female,Yes,No,Yes,0,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),100.72,0.0,0.09017461,0,1208.6399999999999,Low Risk
Female,No,No,Yes,4,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,69.68,278.72,0.034474853,0,836.1600000000001,Low Risk
Male,No,No,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.96,703.68,0.229987,0,1055.52,Low Risk
Male,Yes,Yes,Yes,27,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,68.1,1838.7,0.010147199,0,817.1999999999999,Low Risk
Male,No,No,No,15,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),103.12,1546.8,0.30536243,1,1237.44,Medium Risk
Male,Yes,No,Yes,13,No,No phone service,DSL,Yes,No,Yes,No,No,No,Two year,No,Mailed check,43.02,559.26,0.024188818,0,516.24,Low Risk
Female,No,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.37,29.37,0.31958473,1,352.44,Medium Risk
Male,No,Yes,No,37,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,110.08,4072.96,0.30031246,1,1320.96,Medium Risk
Male,Yes,Yes,Yes,21,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),75.69,1589.49,0.018327763,0,908.28,Low Risk
Female,No,No,Yes,14,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,73.96,1035.44,0.029693287,0,887.52,Low Risk
Female,No,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),103.09,5773.04,0.37407827,1,1237.08,Medium Risk
Female,Yes,Yes,Yes,20,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),118.51,2370.2,0.18712029,0,1422.1200000000001,Low Risk
Female,Yes,Yes,No,56,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,40.13,2247.28,0.20637833,0,481.56000000000006,Low Risk
Male,No,Yes,No,43,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,40.7,1750.1,0.11075365,0,488.40000000000003,Low Risk
Female,No,No,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),76.04,988.52,0.16963786,0,912.48,Low Risk
Male,No,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,116.22,581.1,0.7364126,1,1394.6399999999999,High Risk
Male,No,No,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),100.13,5306.89,0.09754352,0,1201.56,Low Risk
Male,Yes,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.22,1197.68,0.05005064,0,326.64,Low Risk
Female,No,No,No,54,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),72.51,3915.54,0.07438149,0,870.1200000000001,Low Risk
Male,Yes,No,Yes,69,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),116.32,8026.08,0.036372345,0,1395.84,Low Risk
Male,Yes,No,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.29,1528.24,0.0039111734,0,327.48,Low Risk
Female,No,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),99.2,2281.6,0.03931104,0,1190.4,Low Risk
Female,Yes,Yes,Yes,41,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),109.31,4481.71,0.055549663,0,1311.72,Low Risk
Male,No,Yes,Yes,42,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,92.28,3875.76,0.00697674,0,1107.3600000000001,Low Risk
Female,No,Yes,No,32,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,51.02,1632.64,0.18116556,0,612.24,Low Risk
Male,Yes,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.09,1732.86,0.006872517,0,385.08000000000004,Low Risk
Male,Yes,No,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),54.4,217.6,0.048949096,0,652.8,Low Risk
Female,Yes,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.96,1901.28,0.003446936,0,335.52,Low Risk
Male,No,No,Yes,36,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,107.34,3864.24,0.0077807577,0,1288.08,Low Risk
Female,No,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),28.14,422.1,0.009273067,0,337.68,Low Risk
Male,No,Yes,No,65,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,77.57,5042.05,0.07626269,0,930.8399999999999,Low Risk
Female,Yes,No,Yes,25,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),115.01,2875.25,0.029506555,0,1380.1200000000001,Low Risk
Female,No,Yes,No,40,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),77.01,3080.4,0.19689828,0,924.1200000000001,Low Risk
Female,No,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.31,1755.22,0.023095433,0,339.71999999999997,Low Risk
Female,Yes,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.62,1383.68,0.019413246,0,259.44,Low Risk
Male,No,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.68,987.16,0.007406736,0,320.15999999999997,Low Risk
Male,Yes,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.44,608.8,0.10051441,0,365.28000000000003,Low Risk
Female,Yes,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.52,1011.44,0.05428515,0,258.24,Low Risk
Female,Yes,Yes,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.48,292.24,0.046901233,0,269.76,Low Risk
Female,No,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,78.28,3757.44,0.27045286,0,939.36,Low Risk
Male,Yes,Yes,No,15,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,102.36,1535.4,0.45437905,1,1228.32,Medium Risk
Male,Yes,Yes,Yes,65,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),82.36,5353.4,0.022422044,0,988.3199999999999,Low Risk
Female,Yes,Yes,No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),41.61,748.98,0.22069755,0,499.32,Low Risk
Male,Yes,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),104.88,419.52,0.5385579,1,1258.56,Medium Risk
Female,No,Yes,No,17,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,70.27,1194.59,0.16253626,0,843.24,Low Risk
Male,No,Yes,No,52,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,65.59,3410.68,0.031842917,0,787.08,Low Risk
Female,No,Yes,No,71,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,92.33,6555.43,0.09827815,0,1107.96,Low Risk
Male,No,No,Yes,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.09,361.8,0.04408614,0,217.07999999999998,Low Risk
Female,Yes,Yes,No,28,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,67.01,1876.28,0.13542219,0,804.1200000000001,Low Risk
Female,Yes,Yes,Yes,21,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,68.48,1438.08,0.019971596,0,821.76,Low Risk
Male,Yes,No,No,44,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),55.36,2435.84,0.18837146,0,664.3199999999999,Low Risk
Female,Yes,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.22,1468.32,0.0683826,0,314.64,Low Risk
Female,Yes,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.41,1036.53,0.05562068,0,376.92,Low Risk
Female,No,Yes,No,31,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,No,Mailed check,52.68,1633.08,0.03733531,0,632.16,Low Risk
Male,No,Yes,Yes,30,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,40.99,1229.7,0.09016704,0,491.88,Low Risk
Male,No,No,No,63,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,96.29,6066.27,0.13720095,0,1155.48,Low Risk
Female,No,Yes,No,15,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),88.08,1321.2,0.22395758,0,1056.96,Low Risk
Male,No,No,No,46,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,92.54,4256.84,0.03380996,0,1110.48,Low Risk
Male,No,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.54,985.92,0.10617932,0,246.48,Low Risk
Female,Yes,No,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.59,1238.42,0.12910445,0,391.08000000000004,Low Risk
Male,Yes,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.69,1421.4,0.039368138,0,284.28000000000003,Low Risk
Female,Yes,No,Yes,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,100.68,4429.92,0.01925471,0,1208.16,Low Risk
Female,No,No,Yes,10,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),79.38,793.8,0.030897778,0,952.56,Low Risk
Male,Yes,Yes,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.91,897.3,0.04589743,0,358.92,Low Risk
Female,Yes,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),85.47,5128.2,0.019987287,0,1025.6399999999999,Low Risk
Male,Yes,Yes,Yes,4,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),99.54,398.16,0.1543802,0,1194.48,Low Risk
Female,No,Yes,Yes,56,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.17,5385.52,0.040013257,0,1154.04,Low Risk
Female,Yes,No,No,38,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),89.74,3410.12,0.15068297,0,1076.8799999999999,Low Risk
Male,No,Yes,No,30,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),84.48,2534.4,0.10088247,0,1013.76,Low Risk
Female,No,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.38,36.76,0.15419261,0,220.56,Low Risk
Male,No,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,93.18,1024.98,0.29638684,0,1118.16,Low Risk
Male,Yes,No,No,9,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,54.24,488.16,0.20391667,0,650.88,Low Risk
Male,No,Yes,Yes,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,34.34,2060.4,0.010192935,0,412.08000000000004,Low Risk
Male,No,No,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),43.37,1084.25,0.15009415,0,520.4399999999999,Low Risk
